clientid,income,age,loan,LTI,default10yr
1,66155.9250950813,59.0170150669,8106.5321312851,0.1225367512,0
2,34415.1539658196,48.1171531049,6564.7450176774,0.1907515807,0
3,57317.1700630337,63.1080494919,8020.9532963865,0.1399397997,0
4,42709.5342008397,45.7519723522,6103.6422601407,0.1429105321,0
5,66952.6888453402,18.5843359269,8770.0992352044,0.1309895,1
6,24904.0641402826,57.4716071025,15.4985984378,0.0006223321,0
7,48430.3596126847,26.8091324191,5722.5819812127,0.1181610466,0
8,24500.1419843175,32.8975483207,2971.0033097119,0.1212647384,1
9,40654.8925372772,55.4968525395,4755.8252798016,0.1169803923,0
10,25075.8727709763,39.7763780556,1409.2303711145,0.0561986569,0
11,64131.4153722487,25.6795753539,4351.0289707233,0.067845516,0
12,59436.8471228518,60.4719358548,9254.2445380317,0.1556987792,0
13,61050.3460792825,26.3550438546,5893.2646593393,0.0965312244,0
14,27267.9954580963,61.5767758233,4759.7875810455,0.1745558301,0
15,63061.9601742364,39.2015528912,1850.3693770306,0.0293420847,0
16,50501.7266888171,28.2183613214,3977.2874324738,0.0787554742,0
17,43548.6547113396,39.57453035,3935.5444533424,0.0903712062,0
18,43378.1751943752,60.8483179393,3277.7375531263,0.075561905,0
19,20542.3650727607,61.6905707079,3157.4422899707,0.1537039323,0
20,58887.3575488105,26.0760930181,4965.5160662642,0.0843222769,0
21,23000.7840017788,31.7613541707,1148.11805716,0.0499164749,0
22,32197.6207010448,52.4232799197,4244.0571361234,0.1318127565,0
23,23329.3194137514,48.576974534,222.6222986973,0.0095425972,0
24,27845.8008938469,51.9706241027,4959.9212258958,0.1781209758,0
25,65301.9840293564,48.8409217699,5465.2678856546,0.083692218,0
26,47451.6301229596,27.031741309,5361.2827162847,0.1129841631,0
27,63287.0389078744,36.4969755136,9595.2862889299,0.1516153458,0
28,45727.4598698132,55.8399218451,6376.8229488356,0.1394528138,0
29,59417.805406265,30.8582674973,2082.6259381234,0.0350505362,0
30,58842.8913080133,54.5109475637,10871.1867897838,0.1847493648,0
31,48528.8527957164,43.7838086272,6155.7846702554,0.126847933,0
32,23526.3025551103,52.6710122945,2862.0101387461,0.1216515061,0
33,67252.9006074183,38.131907464,4221.3031571448,0.0627675999,0
34,58886.8512935005,38.6615042379,7271.5520324706,0.1234834581,0
35,57584.9737902172,36.6720209196,1728.4237547148,0.030015187,0
36,26289.9723066948,20.6667787344,341.1469659864,0.0129763152,0
37,25952.3814707063,58.1850173026,2109.2007717369,0.0812719547,0
38,32464.091880247,50.2250059168,4326.705073444,0.1332766396,0
39,60921.0631041788,18.840525758,968.8363826746,0.0159031431,0
40,26578.5366925411,32.6760442532,3489.8431363882,0.1313030577,1
41,66260.1215578616,32.8966930676,7035.5891073426,0.1061813492,0
42,58787.4552397989,62.641302852,4167.7867239193,0.070895852,0
43,62545.7087112591,49.0404332359,4362.9058119804,0.0697554781,0
44,24381.9534475915,25.2523307088,4227.0189863608,0.1733667073,1
45,67852.1058685146,47.3218990602,5730.5882513847,0.0844570434,0
46,41725.6128555164,18.1300383634,1185.2146998462,0.028404968,0
47,41896.9715991989,47.2507310347,4892.209733649,0.1167676218,0
48,44379.7296541743,50.0886712889,1814.3350815991,0.040882067,0
49,28416.8993751518,57.9287192984,1788.973735919,0.0629545719,0
50,68427.163111046,46.3082401934,1658.0702332124,0.0242311702,0
51,35975.7949295454,35.7086517671,6610.3661788775,0.183744826,0
52,57596.3540980592,29.2460566033,3344.3844014316,0.0580659046,0
53,29681.8830934353,54.9592871876,1745.871674189,0.0588194377,0
54,51656.9386748597,47.7150637005,7158.1390602894,0.1385707176,0
55,24912.8426820971,49.3663711972,267.6962986018,0.0107453133,0
56,47761.8240681477,50.0981590673,5549.7991278758,0.1161973864,0
57,22248.1792024337,23.4436241724,4364.9752805952,0.1961947196,1
